NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Completion Date,Locations
NCT07096180,Clinical Observational Studies:Integrative TCM and Western Medicine for Breast Cancer,https://clinicaltrials.gov/study/NCT07096180,RECRUITING,Breast Cancer,DRUG: Chemotherapy drug|OTHER: Integrative Treatment (Chemotherapy + TCM),"Taipei Tzu Chi Hospital, Buddhist Tzu Chi Medical Foundation",,FEMALE,"ADULT, OLDER_ADULT",OBSERVATIONAL,2024-01-01,2026-12-31,2026-12-31,"Buddhist Taipei Tzu Chi General Hospital, New Taipei City, Taiwan"
NCT07096167,Afterschool Rx 2.0: A Randomized Feasibility Trial of Afterschool Care Prescriptions for Pediatric Cardiovascular Risk Reduction,https://clinicaltrials.gov/study/NCT07096167,NOT_YET_RECRUITING,Cardiovascular Risk Factor,BEHAVIORAL: Voucher for Afterschool Care,Augusta University,American Heart Association,ALL,CHILD,INTERVENTIONAL,2025-08,2028-05,2028-05,
NCT07096154,Improving Emotional Wellbeing of University Students: Anxiety Management,https://clinicaltrials.gov/study/NCT07096154,RECRUITING,Anxiety,BEHAVIORAL: Group CBT Anxiety Management,Bogazici University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-03-04,2026-07-03,2027-12-31,"Bogazici University Student Guidance and Psychological Counselling Centre (BUREM), Istanbul, 34342, Turkey|Translational Clinical Psychology Lab, Istanbul, 34342, Turkey"
NCT07096141,Improving Emotional Wellbeing of University Students: Emotion Regulation,https://clinicaltrials.gov/study/NCT07096141,RECRUITING,Emotion Regulation,BEHAVIORAL: DBT-informed Group Psychotherapy for Emotion Regulation,Bogazici University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-03-05,2026-07-03,2027-12-31,"Bogazici University Student Guidance and Psychological Counselling Centre (BUREM), Istanbul, 34342, Turkey|Translational Clinical Psychology Lab, Istanbul, 34342, Turkey"
NCT07096128,A Study of [177Lu] Lu-PSMA-XT Injection in Patients With Metastatic Prostate Cancer,https://clinicaltrials.gov/study/NCT07096128,RECRUITING,mCRPC,DRUG: [177Lu]Lu-PSMA-XT,Jinming Zhang,Sinotau Pharmaceutical Group,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-08-20,2026-05-31,2027-04-30,"Beijing Cancer Hospital, Beijing, Beijing, 100000, China|Mianyang Central Hospital, Beijing, Beijing, 100000, China|The First Medical Center, Chinese PLA General Hospital, Beijing, Beijing, 100000, China"
NCT07096115,ED90 of Teglidine for Suppressing LMA Insertion Response in the Elderly,https://clinicaltrials.gov/study/NCT07096115,NOT_YET_RECRUITING,Urological Surgery,DRUG: Taiglididine,The First People's Hospital of Lianyungang,,ALL,OLDER_ADULT,INTERVENTIONAL,2025-09-01,2027-06-01,2027-06-30,
NCT07096102,Efficacy of a Health Empowerment Theory Based Health Information Literacy Promotion Intervention in Individuals With Metabolic Syndrome,https://clinicaltrials.gov/study/NCT07096102,NOT_YET_RECRUITING,Metabolic Syndrome (MetS),BEHAVIORAL: ENRICH Group|BEHAVIORAL: Routine Care Group,Meihua Ji,The Luhe Teaching Hospital of the Capital Medical University,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08,2027-07,2027-12,"Li Yuan Community Health Service Center in Tongzhou District, Beijing, Beijing, Beijing, 101121, China"
NCT07096089,Effect of Vibration on Shoulder Proximal Stability in Children With Cerebral Palsy,https://clinicaltrials.gov/study/NCT07096089,COMPLETED,Cerebral Palsy,PROCEDURE: Conventional physical therapy program and Sling exercise therapy|PROCEDURE: Whole body vibration,Cairo University,,ALL,CHILD,INTERVENTIONAL,2023-10-10,2024-01-10,2024-04-10,"Faculty of Physical therapy, Cairo University, Giza, Office Post Cairo University Giza, 12613, Egypt"
NCT07096076,The Immediate Effects Of Thoracolumbar Fascia Inhibition And Suboccipital Muscle Inhibition,https://clinicaltrials.gov/study/NCT07096076,COMPLETED,Healthy Individuals With Hamstring Tightness,OTHER: Thoracolumbar fascia inhibition|OTHER: Suboccipital inhibition group|OTHER: hamstring stretching,Bulent Ecevit University,,ALL,ADULT,INTERVENTIONAL,2025-03-28,2025-06-02,2025-06-26,"Zonguldak Bülent Ecevit Üniversity, Kozlu, Zonguldak, 67600, Turkey"
NCT07096063,Comparative Effectiveness of Tirzepatide and Semaglutide in Individuals at Cardiovascular Risk,https://clinicaltrials.gov/study/NCT07096063,ACTIVE_NOT_RECRUITING,Type 2 Diabetes|Overweight|Cardiovascular (CV) Risk,DRUG: Tirzepatide|DRUG: Dulaglutide|DRUG: Semaglutide|DRUG: Sitagliptin,Brigham and Women's Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2024-10-01,2025-08,2025-08,"Brigham and Women's Hospital, Boston, Massachusetts, 02120, United States"
NCT07096050,Post Marketing Clinical Follow up Study of HyaleXo,https://clinicaltrials.gov/study/NCT07096050,COMPLETED,Knee Osteoarthritis,OTHER: HyaleXo,"Yooyoung Pharmaceutical Co., Ltd.",TigerMed,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-08-02,2025-02-14,2025-04-25,"Echipa Medical 33, Timişoara, 30, Romania"
NCT07096037,Safety and Efficacy of Urtica Dioica Cataplasm in the Management of Osgood-Schlatter Disease in Young Athletes,https://clinicaltrials.gov/study/NCT07096037,NOT_YET_RECRUITING,Osgood-Schlatter Disease,OTHER: Urtica dioica cataplasm|OTHER: Placebo|DRUG: Vitamin D|BEHAVIORAL: Resting conditions,"Faculty of Medicine, Sousse",,MALE,CHILD,INTERVENTIONAL,2025-09-01,2025-09-15,2026-09-30,
NCT07096024,A Study to Understand About the Study Medicine Palbociclib in Breast Cancer Patients After it is Out in the Japanese Market,https://clinicaltrials.gov/study/NCT07096024,COMPLETED,Breast Neoplasms,DRUG: palbociclib plus fulvestrant|DRUG: fulvestrant,Pfizer,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2025-01-21,2025-02-07,2025-02-07,"Pfizer New York, New York, New York, 10001, United States"
NCT07096011,Studying Phenotypic Risks for Obesity and Underlying Traits in Young Infants,https://clinicaltrials.gov/study/NCT07096011,RECRUITING,"Infant Body Composition and Metabolism|Metabolism|Energy Expenditure|Infant Formula|Human Milk, Breast Milk|Metabolic Flexibility",OTHER: Meal Test - Human Milk|OTHER: Meal Test - Infant Formula,Pennington Biomedical Research Center,,ALL,CHILD,OBSERVATIONAL,2025-07-28,2027-04,2027-05,"Pennington Biomedical Research Center, Baton Rouge, Louisiana, 70808, United States"
NCT07095998,Nerve Excitability in Cisplatin-Induced Peripheral Neuropathy,https://clinicaltrials.gov/study/NCT07095998,NOT_YET_RECRUITING,Peripheral Neuropathy Due to Chemotherapy|Peripheral Neuropathy|Neurotoxicity Syndromes|Neuropathy,DIAGNOSTIC_TEST: Threshold Tracking Nerve Conduction Studies,Ka-Wai Ho,Dana-Farber Cancer Institute,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08,2026-08-30,2027-12-31,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, 02215, United States"
NCT07095985,Novel Ileocecal Valve-Sparing Anastomosis in Laparoscopic Right Hemicolectomy,https://clinicaltrials.gov/study/NCT07095985,COMPLETED,Radical Right Hemicolectomy,,"Army Medical University, China",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2024-07-01,2024-08-30,2024-12-30,"Xinqiao Hospital, Chongqing, Chongqing, 400037, China"
NCT07095972,Continuous Glucose Monitoring in Metabolic Surgery,https://clinicaltrials.gov/study/NCT07095972,NOT_YET_RECRUITING,Diabetes|Obesity (Disorder),DEVICE: Abbot Freestyle Libre CGM,Pennington Biomedical Research Center,LA CaTS Clinical Research Resources Core,ALL,ADULT,INTERVENTIONAL,2025-09-01,2026-06-30,2026-07-31,"Pennington Biomedical Research Center, Baton Rouge, Louisiana, 70808, United States"
NCT07095959,Marshall Vein Ethanol Infusion in Addition to Pulsed Electric Field Ablation Versus Pulsed Electric Field Ablation Alone for Paroxysmal Atrial Fibrillation,https://clinicaltrials.gov/study/NCT07095959,NOT_YET_RECRUITING,Atrial Fibrillation (AF),PROCEDURE: vein of Marshall ethanol infusion|PROCEDURE: PVI using pulsed field ablation,Beijing Anzhen Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-10,2027-07-10,2027-09-01,"Beijing Anzhen Hospital Affiliated to Capital Medical University, Beijing, Beijing, 100029, China"
NCT07095946,Effectiveness of Intraligament vs IANB Anesthesia in Children Using Electronic Syringe,https://clinicaltrials.gov/study/NCT07095946,RECRUITING,Effectiveness of Anesthesia Using Electronic Syringe in Children in the Context of Endotopy Treatment,DEVICE: Periodontal ligament injection using Electronic Syringe|DEVICE: Inferior alveolar nerve block using Electronic Syringe,Tishreen University,,ALL,CHILD,INTERVENTIONAL,2025-05-28,2025-09-20,2026-01-20,"Faculty of Pediatric Dentistry, Tishreen University, Lattakia, Latakia, Syrian Arab Republic"
NCT07095933,The Safety and Efficacy Evaluation of Everolimus as an Adjunctive Treatment for Focal Refractory Epilepsy,https://clinicaltrials.gov/study/NCT07095933,RECRUITING,Epilepsy|Drug Resistant,DRUG: Everolimus,"Xuanwu Hospital, Beijing",,ALL,ADULT,INTERVENTIONAL,2025-08-01,2026-12-01,2026-12-31,"Xuanwu Hospital, Beijing, Beijing, Beijing, 100053, China"
NCT07095920,RESPARK - Brain Q for Chronic Stroke,https://clinicaltrials.gov/study/NCT07095920,NOT_YET_RECRUITING,Stroke|Chronic Stroke Patients|Cerebrovascular Accident (CVA),DEVICE: Device: Q Therapeutic System (BQ 3.0) - Active,University of Florida,BrainQ Technologies Ltd.|Brooks Rehabilitation,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07,2026-03,2026-12,"Brooks Rehabilitation Clinical Research Center, Jacksonville, Florida, 32216, United States"
NCT07095907,Post-surgical Functional Results in Patients With Epiretinal Membrane Undergoing Controlled Macular Detachment,https://clinicaltrials.gov/study/NCT07095907,RECRUITING,Epiretinal Membrane Surgery,PROCEDURE: Pars plana vitrectomy with epiretinal membrane peeling and controlled macular detachment,Asociación para Evitar la Ceguera en México,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-06-10,2025-12-17,2026-01-26,"Hospital Asociación Para Evitar la Ceguera en México I.A.P., Mexico City, 04030, Mexico"
NCT07095894,[Trial of device that is not approved or cleared by the U.S. FDA],https://clinicaltrials.gov/study/NCT07095894,WITHHELD,,,[Redacted],,,,,,,,
NCT07095881,Peri-implant Soft Tissue Response to Direct Zirconia-Based Composite Customized Healing Abutment,https://clinicaltrials.gov/study/NCT07095881,RECRUITING,Missing Tooth,OTHER: Zirconia-based composite customized healing abutment|OTHER: Conventional composite customized healing abutment.,Ain Shams University,,ALL,ADULT,INTERVENTIONAL,2025-01-06,2026-06,2026-12,"Faculty of Dentistry Ain Shams University, Cairo, Abaseya, 7154411, Egypt"
NCT07095868,"Evaluate the Safety, Tolerability, and Preliminary Efficacy of EVM14 Alone and in Combination in Patients With Selected Solid Tumors",https://clinicaltrials.gov/study/NCT07095868,NOT_YET_RECRUITING,Selected Types of Solid Tumor,BIOLOGICAL: EVM14|COMBINATION_PRODUCT: Pembrolizumab,"Everest Medicines (Beijing) Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09,2029-11,2031-11,"MD Anderson Cancer Center, Houston, Texas, 77030, United States|NEXT Oncology, Fairfax, Virginia, 22031, United States|Hunan Cancer Hospital, Changsha, Hunan, 410006, China|Nanjing Drum Tower Hospital, Nanjing, Jiangsu, 210000, China|The First Affiliated Hospital With Nanjing Medical University, Nanjing, Jiangsu, 210029, China|Shanghai Chest Hospital, Shanghai, Shanghai, 200030, China"
NCT07095855,A Phase III Study to Evaluate the Efficacy and Safety of ZMH1505R in Combination With NAs Compared With NAs Monotherapy in Patients With CHB,https://clinicaltrials.gov/study/NCT07095855,NOT_YET_RECRUITING,Chronic Hepatitis B,"DRUG: ZM-H1505R 100mg|OTHER: ZM-H1505R Placebo|COMBINATION_PRODUCT: NAs （""Entecavir""or""Tenofovir""or""Tenofovir alafenamide""or""TMF""） treatments","Shanghai Zhimeng Biopharma, Inc.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08,2028-01,2030-01,"The First Hospital of Jilin University, Changchun, Jilin, 130000, China"
NCT07095842,Prehospital Early Administration of Ketamine for Status Epilepticus in Epileptic Kids (PEAK-SEEK),https://clinicaltrials.gov/study/NCT07095842,NOT_YET_RECRUITING,Convulsive Status EPILEPTICUS,DRUG: Ketamine|DRUG: Midazolam,Sohag University,,ALL,CHILD,INTERVENTIONAL,2025-08-01,2026-07-30,2026-08-01,"Department of Pediatrics at Sohag University Hospital, Sohag, 82524, Egypt"
NCT07095829,Prognostic Model of Postnatal Circulation in Pulmonary Atresia-critical Stenosis With Intact Ventricular Septum,https://clinicaltrials.gov/study/NCT07095829,RECRUITING,Pulmonary Atresia With Intact Ventricular Septum|Congenital Heart Disease|Fetal Cardiac Disorder,OTHER: No intervention,Hospital Universitario 12 de Octubre,Instituto de Salud Carlos III|Instituto de investigación Hospital 12 de Octubre,ALL,CHILD,OBSERVATIONAL,2024-02-01,2028-02-01,2029-12-31,"Hospital Universitario 12 de Octubre, Madrid, 28041, Spain|University of Gothenburg, Gothenburg, Sweden"
NCT07095816,Acetaminophen Before Surgery Lowers Postop Pain in Pediatric Solid Tumor Patients (ERAS),https://clinicaltrials.gov/study/NCT07095816,COMPLETED,Analgesic|Enhanced Recovery After Surgery|Postoperative Pain|Acetaminophen|Tumor,DRUG: Acetaminophen|DRUG: Sterilized water,Nanjing Children's Hospital,,ALL,CHILD,INTERVENTIONAL,2023-05-15,2025-02-27,2025-03-30,"Children's Hospital of Nanjing Medical University, Nanjing, Jiangsu, 210008, China"
NCT07095803,Ivonescimab (PD-1/VEGF Bispecific Antibody) Plus Radiofrequency Ablation for Multiple Advanced Tumors After PD-1 Therapy Failure,https://clinicaltrials.gov/study/NCT07095803,NOT_YET_RECRUITING,Multiple Advanced Tumors After PD-1 Therapy Failure,DRUG: Ivonescimab (20mg/kg Q3W)|PROCEDURE: radiofrequency ablation,Sheng Zhang,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-01,2026-02-01,2027-02-01,
NCT07095790,Tirofiban With Sequential Dual Antiplatelet Therapy in Mild Stroke,https://clinicaltrials.gov/study/NCT07095790,RECRUITING,Mild Stroke,DRUG: Tirofiban+Oral Dual Antiplatelet Therapy|DRUG: Oral Dual Antiplatelet Therapy,Second Affiliated Hospital of Soochow University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-30,2027-02-28,2027-05-31,"Suzhou Municipal Hospital of Anhui Province, Suzhou, Anhui, China|Second Hospital of Hebei Medical University, Shijiazhuang, Hebei, China|Taikang Xian People's Hospital, Zhoukou, Henan, China|WuYuan County People's Hospital, Bayan Nur, Inner Mongolia Autonomous Region, China|Huai'an First People's Hospital, Huai'an, Jiangsu, China|Jiangsu Province (Suqian) Hospital, Suqian, Jiangsu, China|Second Affiliated Hospital of Soochow University, Suzhou, Jiangsu, 215004, China|Affiliated Jiangsu Shengze Hospital of Nanjing Medical University, Suzhou, Jiangsu, China|Changshu No.1 People's Hospital, Suzhou, Jiangsu, China|First People's Hospital of Kunshan, Suzhou, Jiangsu, China|Suzhou Ninth People's Hospital, Suzhou, Jiangsu, China|Suzhou Xiangcheng People's Hospital, Suzhou, Jiangsu, China|Taicang TCM Hospital Affiliated to Nanjing University of Chinese Medicine, Suzhou, Jiangsu, China|Zhangjiagang Hospital of Traditional Chinese Medicine, Suzhou, Jiangsu, China|Taixing Second People's Hospital, Taizhou, Jiangsu, China|Nuclear Industry 417 Hospital, Xi'an, Shaanxi, China|First People's Hospital of Xianyang, Xianyang, Shaanxi, China|Second Hospital of Tianjin Medical University, Tianjin, China"
NCT07095777,Study on the Recovery of Visual Perceptual Function Dysfunction in Patients With Diabetes,https://clinicaltrials.gov/study/NCT07095777,COMPLETED,Diabetic Retinopathy (DR)|Visual Perception,PROCEDURE: visual perceptual learning,The First Affiliated Hospital of Anhui Medical University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2023-03-01,2024-07-31,2024-08-09,"The First Affiliated Hospital of Anhui Medical University, Hefei, Anhui, China"
NCT07095764,Effects of In-Hospital Cardiac Rehabilitation and Manual Lymphatic Drainage in Acute Decompensated Heart Failure,https://clinicaltrials.gov/study/NCT07095764,NOT_YET_RECRUITING,Acute Decompensated Heart Failure,OTHER: Manual Lymphatic Drainage|OTHER: Cardiac Rehabilitation,Izmir Bakircay University,Istanbul University - Cerrahpasa|Yeditepe University|Saglik Bilimleri Universitesi,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-15,2025-10-30,2025-10-30,"Istanbul University- Cerrahpasa, Cardiology Institute, Istanbul, Turkey"
NCT07095751,Pilot Study on Artificial Intelligence-assisted Uro-Cam Catheter Assessment System for Diagnosing Bladder Cancer,https://clinicaltrials.gov/study/NCT07095751,NOT_YET_RECRUITING,Bladder Cancer,DEVICE: AI Uro-Cam,Chinese University of Hong Kong,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-31,2028-12-31,2028-12-31,"Prince of Wales Hospital, Hong Kong, Hong Kong"
NCT07095738,Textural Analysis and Effect of ROI Size on Infrared Thermography in Athletes With Patellar Tendinopathy,https://clinicaltrials.gov/study/NCT07095738,NOT_YET_RECRUITING,Patellar Tendinopathy|Diagnostic Accuracy|Infrared Thermography,DIAGNOSTIC_TEST: thermal images (IT),Cardenal Herrera University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-09-01,2025-09-01,2025-10-01,"Ceu Cardenal Herrera University, Elche, Alicante, 03204, Spain"
NCT07095725,Effect of Primary Dysmenorrhea on Muscle Activity in Young Adult Female,https://clinicaltrials.gov/study/NCT07095725,RECRUITING,Primary Dysmenorrhea,DIAGNOSTIC_TEST: Electromyography,Cairo University,,FEMALE,ADULT,OBSERVATIONAL,2025-07-01,2025-10-20,2025-11-20,"Misr University for Science and Technology, Giza, Egypt"
NCT07095712,Personalized Antisense Oligonucleotide Therapy for A Single Participant With TARDBP ALS,https://clinicaltrials.gov/study/NCT07095712,ACTIVE_NOT_RECRUITING,Amyotrophic Lateral Sclerosis,DRUG: nL-TARD-001,n-Lorem Foundation,The Methodist Hospital Research Institute|Columbia University,FEMALE,ADULT,INTERVENTIONAL,2024-11-25,2025-11,2025-11,"Columbia University, Irving Medical Center, New York, New York, 10032, United States|Houston Methodist, Houston, Texas, 77030, United States"
NCT07095699,Intraoperative Margin Techniques for Esophagogastric Junction Adenocarcinoma: A Controlled Study,https://clinicaltrials.gov/study/NCT07095699,NOT_YET_RECRUITING,Adenocarcinoma of the Esophagogastric Junction,DEVICE: EndoSCell System,Fudan University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-15,2026-05-31,2028-06-30,
NCT07095686,Personalized Antisense Oligonucleotide for Participants With CHCHD10 ALS,https://clinicaltrials.gov/study/NCT07095686,ENROLLING_BY_INVITATION,Amyotrophic Lateral Sclerosis,DRUG: nL-CHCHD-001,n-Lorem Foundation,Columbia University,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-10-02,2026-04,2026-04,"Columbia University, Irving Medical Center, New York, New York, 10032, United States"
NCT07095673,HealthyWE: Achieving a Healthy Weight and Reducing Pain,https://clinicaltrials.gov/study/NCT07095673,RECRUITING,Obesity &Amp; Overweight,BEHAVIORAL: HealthyWE,"Rutgers, The State University of New Jersey",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2023-06-20,2026-09-30,2026-09-30,"School of Nursing Camden, Camden, New Jersey, 08108, United States"
NCT07095660,RECANA OUS - Recana Thrombectomy Catheter for Venous Obstruction and Occlusion Study,https://clinicaltrials.gov/study/NCT07095660,RECRUITING,Venous Obstruction,DEVICE: Recana procedure,"Intervene, Inc.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-02,2027-04-30,2027-04-30,"University Hospital Galway, Galway, Ireland"
